Date,Time,Rainfall (inches),Temperature (F)
10/27/2022,12:00:00 AM,0,47.4
10/27/2022,12:15:00 AM,0,47.5
10/27/2022,12:30:00 AM,0,47.6
10/27/2022,12:45:00 AM,0,47.3
10/27/2022,1:00:00 AM,0,47.4
10/27/2022,1:15:00 AM,0,47.5
10/27/2022,1:30:00 AM,0,47.9
10/27/2022,1:45:00 AM,0,48.2
10/27/2022,2:00:00 AM,0,48.6
10/27/2022,2:15:00 AM,0,49
10/27/2022,2:30:00 AM,0,49.1
10/27/2022,2:45:00 AM,0,48.9
10/27/2022,3:00:00 AM,0,48.8
10/27/2022,3:15:00 AM,0,48.6
10/27/2022,3:30:00 AM,0,48.3
10/27/2022,3:45:00 AM,0,48.3
10/27/2022,4:00:00 AM,0,48.5
10/27/2022,4:15:00 AM,0,48
10/27/2022,4:30:00 AM,0,48.4
10/27/2022,4:45:00 AM,0,48.4
10/27/2022,5:00:00 AM,0,48.5
10/27/2022,5:15:00 AM,0,48.2
10/27/2022,5:30:00 AM,0,49.4
10/27/2022,5:45:00 AM,0,50.1
10/27/2022,6:00:00 AM,0,50
10/27/2022,6:15:00 AM,0,50.1
10/27/2022,6:30:00 AM,0,50.2
10/27/2022,6:45:00 AM,0,50.7
10/27/2022,7:00:00 AM,0,50.5
10/27/2022,7:15:00 AM,0,51
10/27/2022,7:30:00 AM,0,51.3
10/27/2022,7:45:00 AM,0,52.1
10/27/2022,8:00:00 AM,0,51.9
10/27/2022,8:15:00 AM,0,52.3
10/27/2022,8:30:00 AM,0,52.6
10/27/2022,8:45:00 AM,0,51.4
10/27/2022,9:00:00 AM,0,51.5
10/27/2022,9:15:00 AM,0,52.3
10/27/2022,9:30:00 AM,0,53.1
10/27/2022,9:45:00 AM,0,53.5
10/27/2022,10:00:00 AM,0,55
10/27/2022,10:15:00 AM,0,56
10/27/2022,10:30:00 AM,0,56.5
10/27/2022,10:45:00 AM,0,56.1
10/27/2022,11:00:00 AM,0,56.8
10/27/2022,11:15:00 AM,0,56.9
10/27/2022,11:30:00 AM,0.01,57
10/27/2022,11:45:00 AM,0,57
10/27/2022,12:00:00 PM,0,56.3
10/27/2022,12:15:00 PM,0,56
10/27/2022,12:30:00 PM,0,56.7
10/27/2022,12:45:00 PM,0,56.6
10/27/2022,1:00:00 PM,0,56.7
10/27/2022,1:15:00 PM,0,56.8
10/27/2022,1:30:00 PM,0,57.2
10/27/2022,1:45:00 PM,0,57.5
10/27/2022,2:00:00 PM,0,58.3
10/27/2022,2:15:00 PM,0,58.2
10/27/2022,2:30:00 PM,0,58.1
10/27/2022,2:45:00 PM,0,58
10/27/2022,3:00:00 PM,0,58
10/27/2022,3:15:00 PM,0,58.4
10/27/2022,3:30:00 PM,0,58.4
10/27/2022,3:45:00 PM,0,58.5
10/27/2022,4:00:00 PM,0,58.7
10/27/2022,4:15:00 PM,0,58.6
10/27/2022,4:30:00 PM,0,57.8
10/27/2022,4:45:00 PM,0,57.4
10/27/2022,5:00:00 PM,0,56.6
10/27/2022,5:15:00 PM,0,56.5
10/27/2022,5:30:00 PM,0,57.5
10/27/2022,5:45:00 PM,0,57.2
10/27/2022,6:00:00 PM,0,57.2
10/27/2022,6:15:00 PM,0,56.7
10/27/2022,6:30:00 PM,0,55.8
10/27/2022,6:45:00 PM,0,55.2
10/27/2022,7:00:00 PM,0,54.4
10/27/2022,7:15:00 PM,0,54.1
10/27/2022,7:30:00 PM,0,53.4
10/27/2022,7:45:00 PM,0,52.8
10/27/2022,8:00:00 PM,0,52.2
10/27/2022,8:15:00 PM,0,51.7
10/27/2022,8:30:00 PM,0,51.5
10/27/2022,8:45:00 PM,0,51.5
10/27/2022,9:00:00 PM,0,51.4
10/27/2022,9:15:00 PM,0,51.2
10/27/2022,9:30:00 PM,0,51
10/27/2022,9:45:00 PM,0,51
10/27/2022,10:00:00 PM,0,51
10/27/2022,10:15:00 PM,0,50.9
10/27/2022,10:30:00 PM,0,50.9
10/27/2022,10:45:00 PM,0,50.9
10/27/2022,11:00:00 PM,0,50.8
10/27/2022,11:15:00 PM,0,50.9
10/27/2022,11:30:00 PM,0,50.9
10/27/2022,11:45:00 PM,0,50.8
10/28/2022,12:00:00 AM,0.01,50.6
10/28/2022,12:15:00 AM,0,50.4
10/28/2022,12:30:00 AM,0,50.2
10/28/2022,12:45:00 AM,0,49.9
10/28/2022,1:00:00 AM,0,49.6
10/28/2022,1:15:00 AM,0,49.3
10/28/2022,1:30:00 AM,0,49.3
10/28/2022,1:45:00 AM,0,49
10/28/2022,2:00:00 AM,0,48.6
10/28/2022,2:15:00 AM,0,48.4
10/28/2022,2:30:00 AM,0,48.3
10/28/2022,2:45:00 AM,0,48.3
10/28/2022,3:00:00 AM,0,48
10/28/2022,3:15:00 AM,0,48.1
10/28/2022,3:30:00 AM,0,48.1
10/28/2022,3:45:00 AM,0,48.1
10/28/2022,4:00:00 AM,0,48.1
10/28/2022,4:15:00 AM,0,48
10/28/2022,4:30:00 AM,0,48
10/28/2022,4:45:00 AM,0,47.9
10/28/2022,5:00:00 AM,0,47.8
10/28/2022,5:15:00 AM,0.01,47.7
10/28/2022,5:30:00 AM,0,47.7
10/28/2022,5:45:00 AM,0,47.7
10/28/2022,6:00:00 AM,0,47.6
10/28/2022,6:15:00 AM,0,47.5
10/28/2022,6:30:00 AM,0,47.4
10/28/2022,6:45:00 AM,0,47.6
10/28/2022,7:00:00 AM,0,47.6
10/28/2022,7:15:00 AM,0,47.6
10/28/2022,7:30:00 AM,0,47.6
10/28/2022,7:45:00 AM,0,47.7
10/28/2022,8:00:00 AM,0,47.8
10/28/2022,8:15:00 AM,0,48
10/28/2022,8:30:00 AM,0,48.1
10/28/2022,8:45:00 AM,0,48.2
10/28/2022,9:00:00 AM,0,48.2
10/28/2022,9:15:00 AM,0,48.3
10/28/2022,9:30:00 AM,0,48.5
10/28/2022,9:45:00 AM,0,48.6
10/28/2022,10:00:00 AM,0,48.9
10/28/2022,10:15:00 AM,0,49
10/28/2022,10:30:00 AM,0,49.3
10/28/2022,10:45:00 AM,0,50.1
10/28/2022,11:00:00 AM,0,50.1
10/28/2022,11:15:00 AM,0,50.4
10/28/2022,11:30:00 AM,0,50.4
10/28/2022,11:45:00 AM,0,50.8
10/28/2022,12:00:00 PM,0,51.6
10/28/2022,12:15:00 PM,0.01,52.6
10/28/2022,12:30:00 PM,0,53.5
10/28/2022,12:45:00 PM,0,54.8
10/28/2022,1:00:00 PM,0,55
10/28/2022,1:15:00 PM,0,55.1
10/28/2022,1:30:00 PM,0,56
10/28/2022,1:45:00 PM,0,58.5
10/28/2022,2:00:00 PM,0,55.7
10/28/2022,2:15:00 PM,0,54.9
10/28/2022,2:30:00 PM,0,59.9
10/28/2022,2:45:00 PM,0,57.2
10/28/2022,3:00:00 PM,0,56.8
