Height,Date_Time
8.98,03/07/2018 2000
8.98,03/07/2018 2015
8.98,03/07/2018 2030
8.98,03/07/2018 2045
8.98,03/07/2018 2100
8.98,03/07/2018 2115
8.98,03/07/2018 2130
8.98,03/07/2018 2145
8.98,03/07/2018 2200
8.98,03/07/2018 2215
8.97,03/07/2018 2230
8.99,03/07/2018 2245
9,03/07/2018 2300
8.98,03/07/2018 2315
8.99,03/07/2018 2330
8.98,03/07/2018 2345
8.98,03/08/2018 0000
8.98,03/08/2018 0015
8.99,03/08/2018 0030
8.97,03/08/2018 0045
8.98,03/08/2018 0100
8.98,03/08/2018 0115
8.98,03/08/2018 0130
8.98,03/08/2018 0145
8.98,03/08/2018 0200
8.98,03/08/2018 0215
8.98,03/08/2018 0230
8.98,03/08/2018 0245
8.97,03/08/2018 0300
8.98,03/08/2018 0315
8.98,03/08/2018 0330
8.98,03/08/2018 0345
8.97,03/08/2018 0400
8.98,03/08/2018 0415
8.98,03/08/2018 0430
8.97,03/08/2018 0445
8.97,03/08/2018 0500
8.98,03/08/2018 0515
8.98,03/08/2018 0530
8.97,03/08/2018 0545
8.98,03/08/2018 0600
8.98,03/08/2018 0615
8.98,03/08/2018 0630
8.98,03/08/2018 0645
8.97,03/08/2018 0700
8.97,03/08/2018 0715
8.97,03/08/2018 0730
8.97,03/08/2018 0745
8.98,03/08/2018 0800
8.97,03/08/2018 0815
8.97,03/08/2018 0830
8.96,03/08/2018 0845
8.98,03/08/2018 0900
8.98,03/08/2018 0915
8.97,03/08/2018 0930
8.98,03/08/2018 0945
8.97,03/08/2018 1000
8.98,03/08/2018 1015
8.97,03/08/2018 1030
8.98,03/08/2018 1045
8.97,03/08/2018 1100
8.98,03/08/2018 1115
8.97,03/08/2018 1130
8.97,03/08/2018 1145
8.98,03/08/2018 1200
8.99,03/08/2018 1215
8.99,03/08/2018 1230
8.97,03/08/2018 1245
8.97,03/08/2018 1300
8.97,03/08/2018 1315
8.98,03/08/2018 1330
8.98,03/08/2018 1345
8.97,03/08/2018 1400
8.97,03/08/2018 1415
8.98,03/08/2018 1430
8.98,03/08/2018 1445
8.97,03/08/2018 1500
8.97,03/08/2018 1515
8.98,03/08/2018 1530
8.97,03/08/2018 1545
8.98,03/08/2018 1600
8.98,03/08/2018 1615
8.98,03/08/2018 1630
8.98,03/08/2018 1645
8.98,03/08/2018 1700
8.98,03/08/2018 1715
8.98,03/08/2018 1730
8.98,03/08/2018 1745
8.98,03/08/2018 1800
8.97,03/08/2018 1815
8.97,03/08/2018 1830
8.98,03/08/2018 1845
8.97,03/08/2018 1900
8.98,03/08/2018 1915
8.97,03/08/2018 1930
8.98,03/08/2018 1945
