Air_Temp_C,Date_Time,Height_ft
1.5,12/06/2020 0000,1.63
1.5,12/06/2020 0015,1.62
1.6,12/06/2020 0030,1.62
1.7,12/06/2020 0045,1.62
1.8,12/06/2020 0100,1.62
1.9,12/06/2020 0115,1.62
1.9,12/06/2020 0130,1.62
2,12/06/2020 0145,1.62
2.1,12/06/2020 0200,1.62
2.1,12/06/2020 0215,1.62
2.2,12/06/2020 0230,1.62
2.2,12/06/2020 0245,1.62
2.3,12/06/2020 0300,1.62
2.3,12/06/2020 0315,1.62
2.3,12/06/2020 0330,1.62
2.3,12/06/2020 0345,1.62
2.4,12/06/2020 0400,1.62
2.3,12/06/2020 0415,1.62
2.4,12/06/2020 0430,1.62
2.4,12/06/2020 0445,1.62
2.5,12/06/2020 0500,1.62
2.5,12/06/2020 0515,1.62
2.5,12/06/2020 0530,1.62
2.6,12/06/2020 0545,1.62
2.6,12/06/2020 0600,1.62
2.7,12/06/2020 0615,1.62
2.7,12/06/2020 0630,1.62
2.7,12/06/2020 0645,1.62
2.8,12/06/2020 0700,1.62
2.8,12/06/2020 0715,1.62
2.9,12/06/2020 0730,1.62
2.9,12/06/2020 0745,1.62
2.9,12/06/2020 0800,1.62
3,12/06/2020 0815,1.62
3,12/06/2020 0830,1.62
3.1,12/06/2020 0845,1.62
3.2,12/06/2020 0900,1.62
3.2,12/06/2020 0915,1.62
3.3,12/06/2020 0930,1.62
3.4,12/06/2020 0945,1.62
3.6,12/06/2020 1000,1.62
3.8,12/06/2020 1015,1.62
3.9,12/06/2020 1030,1.62
3.9,12/06/2020 1045,1.62
4,12/06/2020 1100,1.62
4.1,12/06/2020 1115,1.62
4.3,12/06/2020 1130,1.62
4.4,12/06/2020 1145,1.62
4.5,12/06/2020 1200,1.61
4.6,12/06/2020 1215,1.61
4.6,12/06/2020 1230,1.61
4.7,12/06/2020 1245,1.62
4.8,12/06/2020 1300,1.62
4.9,12/06/2020 1315,1.62
5,12/06/2020 1330,1.62
5.1,12/06/2020 1345,1.62
5.1,12/06/2020 1400,1.62
5.2,12/06/2020 1415,1.62
5.1,12/06/2020 1430,1.62
5.2,12/06/2020 1445,1.62
5.1,12/06/2020 1500,1.62
5,12/06/2020 1515,1.61
5.1,12/06/2020 1530,1.61
5,12/06/2020 1545,1.61
5,12/06/2020 1600,1.61
4.9,12/06/2020 1615,1.61
4.8,12/06/2020 1630,1.61
4.7,12/06/2020 1645,1.61
4.6,12/06/2020 1700,1.61
4.6,12/06/2020 1715,1.61
4.5,12/06/2020 1730,1.61
4.5,12/06/2020 1745,1.61
4.5,12/06/2020 1800,1.61
4.4,12/06/2020 1815,1.61
4.3,12/06/2020 1830,1.61
4.1,12/06/2020 1845,1.61
3.9,12/06/2020 1900,1.61
3.7,12/06/2020 1915,1.61
3.6,12/06/2020 1930,1.61
3.4,12/06/2020 1945,1.61
3.2,12/06/2020 2000,1.61
3.1,12/06/2020 2015,1.61
2.9,12/06/2020 2030,1.61
2.8,12/06/2020 2045,1.61
2.5,12/06/2020 2100,1.61
2.4,12/06/2020 2115,1.61
2.3,12/06/2020 2130,1.61
2.2,12/06/2020 2145,1.61
2.1,12/06/2020 2200,1.61
2,12/06/2020 2215,1.61
1.9,12/06/2020 2230,1.61
1.8,12/06/2020 2245,1.61
1.8,12/06/2020 2300,1.61
1.7,12/06/2020 2315,1.61
1.7,12/06/2020 2330,1.61
1.7,12/06/2020 2345,1.61
1.6,12/07/2020 0000,1.61
1.6,12/07/2020 0015,1.61
1.5,12/07/2020 0030,1.61
1.5,12/07/2020 0045,1.61
1.4,12/07/2020 0100,1.61
1.3,12/07/2020 0115,1.61
1.4,12/07/2020 0130,1.61
1.5,12/07/2020 0145,1.61
1.7,12/07/2020 0200,1.61
1.8,12/07/2020 0215,1.61
2,12/07/2020 0230,1.61
2.1,12/07/2020 0245,1.61
2.1,12/07/2020 0300,1.61
2.2,12/07/2020 0315,1.61
2.3,12/07/2020 0330,1.61
2.3,12/07/2020 0345,1.61
2.4,12/07/2020 0400,1.61
2.5,12/07/2020 0415,1.61
2.5,12/07/2020 0430,1.61
2.6,12/07/2020 0445,1.61
2.8,12/07/2020 0500,1.61
2.8,12/07/2020 0515,1.61
2.9,12/07/2020 0530,1.61
3,12/07/2020 0545,1.61
3,12/07/2020 0600,1.61
3.1,12/07/2020 0615,1.61
3.1,12/07/2020 0630,1.61
3.2,12/07/2020 0645,1.61
3.2,12/07/2020 0700,1.61
3.2,12/07/2020 0715,1.61
3.3,12/07/2020 0730,1.61
3.3,12/07/2020 0745,1.61
3.4,12/07/2020 0800,1.61
3.4,12/07/2020 0815,1.61
3.5,12/07/2020 0830,1.61
3.5,12/07/2020 0845,1.61
3.6,12/07/2020 0900,1.61
3.7,12/07/2020 0915,1.61
3.8,12/07/2020 0930,1.61
3.9,12/07/2020 0945,1.61
3.9,12/07/2020 1000,1.61
4,12/07/2020 1015,1.61
4.2,12/07/2020 1030,1.61
4.4,12/07/2020 1045,1.6
4.6,12/07/2020 1100,1.6
4.7,12/07/2020 1115,1.6
4.9,12/07/2020 1130,1.6
5.2,12/07/2020 1145,1.6
5.3,12/07/2020 1200,1.6
5.3,12/07/2020 1215,1.6
5.3,12/07/2020 1230,1.6
5.4,12/07/2020 1245,1.6
5.5,12/07/2020 1300,1.6
5.7,12/07/2020 1315,1.6
5.7,12/07/2020 1330,1.6
5.8,12/07/2020 1345,1.59
5.8,12/07/2020 1400,1.59
5.8,12/07/2020 1415,1.59
5.9,12/07/2020 1430,1.59
5.9,12/07/2020 1445,1.59
5.8,12/07/2020 1500,1.59
5.8,12/07/2020 1515,1.59
5.8,12/07/2020 1530,1.59
5.7,12/07/2020 1545,1.59
5.5,12/07/2020 1600,1.59
5.5,12/07/2020 1615,1.59
5.3,12/07/2020 1630,1.59
5.2,12/07/2020 1645,1.59
5.1,12/07/2020 1700,1.59
5.1,12/07/2020 1715,1.59
5.1,12/07/2020 1730,1.6
5,12/07/2020 1745,1.6
4.9,12/07/2020 1800,1.6
4.8,12/07/2020 1815,1.6
4.8,12/07/2020 1830,1.6
4.8,12/07/2020 1845,1.6
4.8,12/07/2020 1900,1.6
4.8,12/07/2020 1915,1.6
4.8,12/07/2020 1930,1.6
4.8,12/07/2020 1945,1.6
4.8,12/07/2020 2000,1.6
4.8,12/07/2020 2015,1.6
4.8,12/07/2020 2030,1.59
4.8,12/07/2020 2045,1.59
4.9,12/07/2020 2100,1.59
4.9,12/07/2020 2115,1.59
4.9,12/07/2020 2130,1.59
4.9,12/07/2020 2145,1.59
5,12/07/2020 2200,1.59
5,12/07/2020 2215,1.59
5,12/07/2020 2230,1.59
5.1,12/07/2020 2245,1.59
5.2,12/07/2020 2300,1.59
5.2,12/07/2020 2315,1.59
5.2,12/07/2020 2330,1.59
5.2,12/07/2020 2345,1.59
5.2,12/08/2020 0000,1.59
5.2,12/08/2020 0015,1.59
5.2,12/08/2020 0030,1.59
5.3,12/08/2020 0045,1.59
5.4,12/08/2020 0100,1.59
5.4,12/08/2020 0115,1.59
5.4,12/08/2020 0130,1.59
5.5,12/08/2020 0145,1.59
5.5,12/08/2020 0200,1.59
5.5,12/08/2020 0215,1.59
5.6,12/08/2020 0230,1.59
5.6,12/08/2020 0245,1.59
5.6,12/08/2020 0300,1.59
5.6,12/08/2020 0315,1.59
5.7,12/08/2020 0330,1.59
5.7,12/08/2020 0345,1.59
5.7,12/08/2020 0400,1.59
5.7,12/08/2020 0415,1.59
5.7,12/08/2020 0430,1.59
5.8,12/08/2020 0445,1.59
5.8,12/08/2020 0500,1.59
