Date,Time,Height,Rain,Temp,Date_Time
10/27/2022,0:00,3.94,0,47.4,10/27/2022 0:00
10/27/2022,0:15,3.93,0,47.5,10/27/2022 0:15
10/27/2022,0:30,3.92,0,47.6,10/27/2022 0:30
10/27/2022,0:45,3.92,0,47.3,10/27/2022 0:45
10/27/2022,1:00,3.91,0,47.4,10/27/2022 1:00
10/27/2022,1:15,3.9,0,47.5,10/27/2022 1:15
10/27/2022,1:30,3.89,0,47.9,10/27/2022 1:30
10/27/2022,1:45,3.88,0,48.2,10/27/2022 1:45
10/27/2022,2:00,3.87,0,48.6,10/27/2022 2:00
10/27/2022,2:15,3.86,0,49,10/27/2022 2:15
10/27/2022,2:30,3.84,0,49.1,10/27/2022 2:30
10/27/2022,2:45,3.83,0,48.9,10/27/2022 2:45
10/27/2022,3:00,3.82,0,48.8,10/27/2022 3:00
10/27/2022,3:15,3.81,0,48.6,10/27/2022 3:15
10/27/2022,3:30,3.81,0,48.3,10/27/2022 3:30
10/27/2022,3:45,3.8,0,48.3,10/27/2022 3:45
10/27/2022,4:00,3.79,0,48.5,10/27/2022 4:00
10/27/2022,4:15,3.78,0,48,10/27/2022 4:15
10/27/2022,4:30,3.77,0,48.4,10/27/2022 4:30
10/27/2022,4:45,3.77,0,48.4,10/27/2022 4:45
10/27/2022,5:00,3.76,0,48.5,10/27/2022 5:00
10/27/2022,5:15,3.75,0,48.2,10/27/2022 5:15
10/27/2022,5:30,3.74,0,49.4,10/27/2022 5:30
10/27/2022,5:45,3.73,0,50.1,10/27/2022 5:45
10/27/2022,6:00,3.72,0,50,10/27/2022 6:00
10/27/2022,6:15,3.72,0,50.1,10/27/2022 6:15
10/27/2022,6:30,3.71,0,50.2,10/27/2022 6:30
10/27/2022,6:45,3.7,0,50.7,10/27/2022 6:45
10/27/2022,7:00,3.69,0,50.5,10/27/2022 7:00
10/27/2022,7:15,3.69,0,51,10/27/2022 7:15
10/27/2022,7:30,3.68,0,51.3,10/27/2022 7:30
10/27/2022,7:45,3.68,0,52.1,10/27/2022 7:45
10/27/2022,8:00,3.67,0,51.9,10/27/2022 8:00
10/27/2022,8:15,3.66,0,52.3,10/27/2022 8:15
10/27/2022,8:30,3.66,0,52.6,10/27/2022 8:30
10/27/2022,8:45,3.65,0,51.4,10/27/2022 8:45
10/27/2022,9:00,3.65,0,51.5,10/27/2022 9:00
10/27/2022,9:15,3.64,0,52.3,10/27/2022 9:15
10/27/2022,9:30,3.64,0,53.1,10/27/2022 9:30
10/27/2022,9:45,3.64,0,53.5,10/27/2022 9:45
10/27/2022,10:00,3.63,0,55,10/27/2022 10:00
10/27/2022,10:15,3.63,0,56,10/27/2022 10:15
10/27/2022,10:30,3.62,0,56.5,10/27/2022 10:30
10/27/2022,10:45,3.61,0,56.1,10/27/2022 10:45
10/27/2022,11:00,3.61,0,56.8,10/27/2022 11:00
10/27/2022,11:15,3.61,0,56.9,10/27/2022 11:15
10/27/2022,11:30,3.6,0.01,57,10/27/2022 11:30
10/27/2022,11:45,3.6,0,57,10/27/2022 11:45
10/27/2022,12:00,3.6,0,56.3,10/27/2022 12:00
10/27/2022,12:15,3.6,0,56,10/27/2022 12:15
10/27/2022,12:30,3.59,0,56.7,10/27/2022 12:30
10/27/2022,12:45,3.59,0,56.6,10/27/2022 12:45
10/27/2022,13:00,3.59,0,56.7,10/27/2022 13:00
10/27/2022,13:15,3.59,0,56.8,10/27/2022 13:15
10/27/2022,13:30,3.58,0,57.2,10/27/2022 13:30
10/27/2022,13:45,3.58,0,57.5,10/27/2022 13:45
10/27/2022,14:00,3.58,0,58.3,10/27/2022 14:00
10/27/2022,14:15,3.58,0,58.2,10/27/2022 14:15
10/27/2022,14:30,3.57,0,58.1,10/27/2022 14:30
10/27/2022,14:45,3.56,0,58,10/27/2022 14:45
10/27/2022,15:00,3.56,0,58,10/27/2022 15:00
10/27/2022,15:15,3.56,0,58.4,10/27/2022 15:15
10/27/2022,15:30,3.56,0,58.4,10/27/2022 15:30
10/27/2022,15:45,3.56,0,58.5,10/27/2022 15:45
10/27/2022,16:00,3.55,0,58.7,10/27/2022 16:00
10/27/2022,16:15,3.55,0,58.6,10/27/2022 16:15
10/27/2022,16:30,3.55,0,57.8,10/27/2022 16:30
10/27/2022,16:45,3.54,0,57.4,10/27/2022 16:45
10/27/2022,17:00,3.54,0,56.6,10/27/2022 17:00
10/27/2022,17:15,3.54,0,56.5,10/27/2022 17:15
10/27/2022,17:30,3.54,0,57.5,10/27/2022 17:30
10/27/2022,17:45,3.54,0,57.2,10/27/2022 17:45
10/27/2022,18:00,3.54,0,57.2,10/27/2022 18:00
10/27/2022,18:15,3.54,0,56.7,10/27/2022 18:15
10/27/2022,18:30,3.54,0,55.8,10/27/2022 18:30
10/27/2022,18:45,3.54,0,55.2,10/27/2022 18:45
10/27/2022,19:00,3.54,0,54.4,10/27/2022 19:00
10/27/2022,19:15,3.54,0,54.1,10/27/2022 19:15
10/27/2022,19:30,3.54,0,53.4,10/27/2022 19:30
10/27/2022,19:45,3.54,0,52.8,10/27/2022 19:45
10/27/2022,20:00,3.54,0,52.2,10/27/2022 20:00
10/27/2022,20:15,3.54,0,51.7,10/27/2022 20:15
10/27/2022,20:30,3.54,0,51.5,10/27/2022 20:30
10/27/2022,20:45,3.54,0,51.5,10/27/2022 20:45
10/27/2022,21:00,3.54,0,51.4,10/27/2022 21:00
10/27/2022,21:15,3.54,0,51.2,10/27/2022 21:15
10/27/2022,21:30,3.54,0,51,10/27/2022 21:30
10/27/2022,21:45,3.54,0,51,10/27/2022 21:45
10/27/2022,22:00,3.54,0,51,10/27/2022 22:00
10/27/2022,22:15,3.54,0,50.9,10/27/2022 22:15
10/27/2022,22:30,3.54,0,50.9,10/27/2022 22:30
10/27/2022,22:45,3.55,0,50.9,10/27/2022 22:45
10/27/2022,23:00,3.56,0,50.8,10/27/2022 23:00
10/27/2022,23:15,3.57,0,50.9,10/27/2022 23:15
10/27/2022,23:30,3.58,0,50.9,10/27/2022 23:30
10/27/2022,23:45,3.58,0,50.8,10/27/2022 23:45
10/28/2022,0:00,3.58,0.01,50.6,10/28/2022 0:00
10/28/2022,0:15,3.59,0,50.4,10/28/2022 0:15
10/28/2022,0:30,3.59,0,50.2,10/28/2022 0:30
10/28/2022,0:45,3.59,0,49.9,10/28/2022 0:45
10/28/2022,1:00,3.6,0,49.6,10/28/2022 1:00
10/28/2022,1:15,3.6,0,49.3,10/28/2022 1:15
10/28/2022,1:30,3.6,0,49.3,10/28/2022 1:30
10/28/2022,1:45,3.61,0,49,10/28/2022 1:45
10/28/2022,2:00,3.61,0,48.6,10/28/2022 2:00
10/28/2022,2:15,3.62,0,48.4,10/28/2022 2:15
10/28/2022,2:30,3.62,0,48.3,10/28/2022 2:30
10/28/2022,2:45,3.62,0,48.3,10/28/2022 2:45
10/28/2022,3:00,3.63,0,48,10/28/2022 3:00
10/28/2022,3:15,3.63,0,48.1,10/28/2022 3:15
10/28/2022,3:30,3.64,0,48.1,10/28/2022 3:30
10/28/2022,3:45,3.64,0,48.1,10/28/2022 3:45
10/28/2022,4:00,3.65,0,48.1,10/28/2022 4:00
10/28/2022,4:15,3.66,0,48,10/28/2022 4:15
10/28/2022,4:30,3.66,0,48,10/28/2022 4:30
10/28/2022,4:45,3.67,0,47.9,10/28/2022 4:45
10/28/2022,5:00,3.67,0,47.8,10/28/2022 5:00
10/28/2022,5:15,3.68,0.01,47.7,10/28/2022 5:15
10/28/2022,5:30,3.68,0,47.7,10/28/2022 5:30
10/28/2022,5:45,3.69,0,47.7,10/28/2022 5:45
10/28/2022,6:00,3.7,0,47.6,10/28/2022 6:00
10/28/2022,6:15,3.7,0,47.5,10/28/2022 6:15
10/28/2022,6:30,3.71,0,47.4,10/28/2022 6:30
10/28/2022,6:45,3.71,0,47.6,10/28/2022 6:45
10/28/2022,7:00,3.72,0,47.6,10/28/2022 7:00
10/28/2022,7:15,3.72,0,47.6,10/28/2022 7:15
